name,value,year,lastValue,rank,colour,tcolour
PSV,4059,2015,3976,2,#E83519,#FFFFFF
Feyenoord,3873,2015,3809,3,#E83519,#000000
FC Twente,2689,2015,2655,4,#E83519,#FFFFFF
Sparta Rotterdam,2294,2015,2294,5,#E83519,#FFFFFF
FC Utrecht,2085,2015,2041,6,#E83519,#FFFFFF
Roda JC Kerkrade,1999,2015,1983,7,#FFFF00,#000000
NAC Breda,1970,2015,1955,8,#FFFF00,#000000
AZ,1922,2015,1869,9,#E83519,#FFFFFF
ADO Den Haag,1737,2015,1696,10,#006d2c,#ffed00
Ajax,4411,2016,4333,1,#E83519,#FFFFFF
PSV,4139,2016,4059,2,#E83519,#FFFFFF
Feyenoord,3942,2016,3873,3,#E83519,#000000
FC Twente,2743,2016,2689,4,#E83519,#FFFFFF
Sparta Rotterdam,2311,2016,2294,5,#E83519,#FFFFFF
FC Utrecht,2137,2016,2085,6,#E83519,#FFFFFF
Roda JC Kerkrade,2030,2016,1999,7,#FFFF00,#000000
AZ,1990,2016,1922,8,#E83519,#FFFFFF
NAC Breda,1970,2016,1970,9,#FFFF00,#000000
ADO Den Haag,1777,2016,1737,10,#006d2c,#ffed00
Ajax,4496,2017,4411,1,#E83519,#FFFFFF
PSV,4227,2017,4139,2,#E83519,#FFFFFF
Feyenoord,4014,2017,3942,3,#E83519,#000000
FC Twente,2779,2017,2743,4,#E83519,#FFFFFF
Sparta Rotterdam,2339,2017,2311,5,#E83519,#FFFFFF
FC Utrecht,2202,2017,2137,6,#E83519,#FFFFFF
Roda JC Kerkrade,2061,2017,2030,7,#FFFF00,#000000
AZ,2049,2017,1990,8,#E83519,#FFFFFF
NAC Breda,1986,2017,1970,9,#FFFF00,#000000
ADO Den Haag,1824,2017,1777,10,#006d2c,#ffed00
Ajax,4580,2018,4496,1,#E83519,#FFFFFF
PSV,4312,2018,4227,2,#E83519,#FFFFFF
Feyenoord,4084,2018,4014,3,#E83519,#000000
FC Twente,2788,2018,2779,4,#E83519,#FFFFFF
Sparta Rotterdam,2355,2018,2339,5,#E83519,#FFFFFF
FC Utrecht,2256,2018,2202,6,#E83519,#FFFFFF
AZ,2107,2018,2049,7,#E83519,#FFFFFF
Roda JC Kerkrade,2080,2018,2061,8,#FFFF00,#000000
NAC Breda,2019,2018,1986,9,#FFFF00,#000000
ADO Den Haag,1865,2018,1824,10,#006d2c,#ffed00
Ajax,4596,2019,4580,1,#E83519,#FFFFFF
PSV,4331,2019,4312,2,#E83519,#FFFFFF
Feyenoord,4095,2019,4084,3,#E83519,#000000
FC Twente,2788,2019,2788,4,#E83519,#FFFFFF
Sparta Rotterdam,2355,2019,2355,5,#E83519,#FFFFFF
FC Utrecht,2268,2019,2256,6,#E83519,#FFFFFF
AZ,2129,2019,2107,7,#E83519,#FFFFFF
Roda JC Kerkrade,2080,2019,2080,8,#FFFF00,#000000
NAC Breda,2021,2019,2019,9,#FFFF00,#000000
ADO Den Haag,1873,2019,1865,10,#006d2c,#ffed00
