Club,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Feyenoord,28,83,133,188,262,315,310,318,329,307,305,337,357,368,388,403,397,399,405,401,389,364,326,316,314,280,294,332,331,343,348,339,309,277,240,253,253,289,306,331,342,349,332,345,353,334,333,339,340,338,349,337,305,297,271,257,283,305,307,325,339,335,340,286
Fortuna '54 Geleen,28,87,151,195,235,255,240,206,210,203,190,183,165,117,84,49,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fortuna Sittard,0,0,0,0,0,0,0,0,0,0,0,0,7,21,21,21,21,14,0,0,0,0,0,0,0,0,25,62,104,164,198,225,236,234,221,214,194,163,123,94,99,114,135,173,190,191,151,113,75,40,7,0,0,0,0,0,0,0,0,0,0,0,20,29
Go Ahead Eagles,0,0,0,0,0,0,0,16,45,84,145,207,252,269,277,275,248,228,221,203,184,191,195,199,199,210,204,207,204,219,210,182,134,94,50,8,19,57,79,113,123,104,66,44,10,0,0,0,0,0,0,0,0,0,0,0,0,23,54,65,77,88,65,34
GVAV,16,59,75,75,106,135,126,154,202,193,199,212,212,188,185,134,87,43,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haarlem,0,0,0,0,0,0,0,0,0,0,0,0,0,23,42,48,65,106,107,112,132,145,142,146,138,136,162,173,191,228,244,236,235,218,174,134,86,38,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Helmond Sport,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,38,54,54,54,35,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Heracles Almelo,0,0,0,0,0,0,15,52,91,113,131,116,79,40,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,15,15,15,15,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,56,84,123,167,191,204,216,217,204,212,204,208,214,196
MVV Maastricht,28,79,128,176,220,233,225,221,205,190,189,183,167,179,185,191,195,208,200,203,169,128,110,105,119,145,156,132,120,102,82,71,85,115,106,131,183,213,208,192,149,115,105,85,89,89,71,37,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N.E.C.,0,0,0,0,0,0,0,0,0,0,0,27,60,99,136,188,210,205,183,169,156,149,147,165,179,174,173,157,122,100,83,42,32,50,61,60,60,60,57,64,75,116,162,174,180,191,193,194,199,207,215,203,218,215,211,202,223,189,175,159,160,123,95,80
NAC Breda,25,69,117,175,227,242,252,256,227,194,175,159,140,163,176,194,188,177,151,156,165,175,188,195,198,195,190,171,148,124,79,42,26,16,0,0,0,26,69,117,169,209,213,180,156,163,169,183,227,231,212,208,231,215,241,233,222,201,189,150,118,103,90,66
NOAD,19,62,93,109,117,110,67,36,20,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PEC Zwolle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,59,93,127,160,199,179,153,140,150,131,121,113,92,49,15,0,0,0,0,0,0,0,0,13,39,58,58,58,45,19,0,0,0,15,61,108,157,194,233,213,180
PSV,21,82,126,184,237,271,277,294,286,277,263,241,222,246,264,278,286,309,306,316,336,368,364,358,348,344,333,344,353,372,384,399,402,401,388,390,377,369,354,368,364,357,353,366,365,363,370,386,394,400,416,398,385,386,373,343,357,346,342,351,366,382,412,355
Rapid JC Heerlen,23,75,124,179,221,229,191,142,87,45,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
